n_shots,accuracy,run_num,nspw,model,dataset,gpt2-large,sst2
1,0.548,0,1,gpt2-large,sst2
1,0.548,1,1,gpt2-large,sst2
1,0.468,2,1,gpt2-large,sst2
1,0.536,3,1,gpt2-large,sst2
1,0.468,4,1,gpt2-large,sst2
1,0.552,5,1,gpt2-large,sst2
1,0.468,6,1,gpt2-large,sst2
1,0.468,7,1,gpt2-large,sst2
1,0.528,8,1,gpt2-large,sst2
1,0.472,9,1,gpt2-large,sst2
2,0.54,0,1,gpt2-large,sst2
2,0.88,1,1,gpt2-large,sst2
2,0.468,2,1,gpt2-large,sst2
2,0.472,3,1,gpt2-large,sst2
2,0.544,4,1,gpt2-large,sst2
2,0.468,5,1,gpt2-large,sst2
2,0.828,6,1,gpt2-large,sst2
2,0.736,7,1,gpt2-large,sst2
2,0.848,8,1,gpt2-large,sst2
2,0.66,9,1,gpt2-large,sst2
3,0.852,0,1,gpt2-large,sst2
3,0.476,1,1,gpt2-large,sst2
3,0.736,2,1,gpt2-large,sst2
3,0.904,3,1,gpt2-large,sst2
3,0.752,4,1,gpt2-large,sst2
3,0.484,5,1,gpt2-large,sst2
3,0.532,6,1,gpt2-large,sst2
3,0.496,7,1,gpt2-large,sst2
3,0.608,8,1,gpt2-large,sst2
3,0.468,9,1,gpt2-large,sst2
4,0.552,0,1,gpt2-large,sst2
4,0.588,1,1,gpt2-large,sst2
4,0.468,2,1,gpt2-large,sst2
4,0.868,3,1,gpt2-large,sst2
4,0.724,4,1,gpt2-large,sst2
4,0.752,5,1,gpt2-large,sst2
4,0.56,6,1,gpt2-large,sst2
4,0.708,7,1,gpt2-large,sst2
4,0.472,8,1,gpt2-large,sst2
4,0.536,9,1,gpt2-large,sst2
5,0.536,0,1,gpt2-large,sst2
5,0.78,1,1,gpt2-large,sst2
5,0.552,2,1,gpt2-large,sst2
5,0.708,3,1,gpt2-large,sst2
5,0.552,4,1,gpt2-large,sst2
5,0.692,5,1,gpt2-large,sst2
5,0.536,6,1,gpt2-large,sst2
5,0.7,7,1,gpt2-large,sst2
5,0.584,8,1,gpt2-large,sst2
5,0.536,9,1,gpt2-large,sst2
6,0.48,0,1,gpt2-large,sst2
6,0.468,1,1,gpt2-large,sst2
6,0.536,2,1,gpt2-large,sst2
6,0.644,3,1,gpt2-large,sst2
6,0.844,4,1,gpt2-large,sst2
6,0.692,5,1,gpt2-large,sst2
6,0.64,6,1,gpt2-large,sst2
6,0.568,7,1,gpt2-large,sst2
6,0.492,8,1,gpt2-large,sst2
6,0.548,9,1,gpt2-large,sst2
7,0.692,0,1,gpt2-large,sst2
7,0.576,1,1,gpt2-large,sst2
7,0.572,2,1,gpt2-large,sst2
7,0.64,3,1,gpt2-large,sst2
7,0.536,4,1,gpt2-large,sst2
7,0.78,5,1,gpt2-large,sst2
7,0.668,6,1,gpt2-large,sst2
7,0.6,7,1,gpt2-large,sst2
7,0.7,8,1,gpt2-large,sst2
7,0.52,9,1,gpt2-large,sst2
8,0.832,0,1,gpt2-large,sst2
8,0.54,1,1,gpt2-large,sst2
8,0.7,2,1,gpt2-large,sst2
8,0.732,3,1,gpt2-large,sst2
8,0.5,4,1,gpt2-large,sst2
8,0.54,5,1,gpt2-large,sst2
8,0.492,6,1,gpt2-large,sst2
8,0.54,7,1,gpt2-large,sst2
8,0.564,8,1,gpt2-large,sst2
8,0.48,9,1,gpt2-large,sst2
9,0.544,0,1,gpt2-large,sst2
9,0.54,1,1,gpt2-large,sst2
9,0.468,2,1,gpt2-large,sst2
9,0.768,3,1,gpt2-large,sst2
9,0.544,4,1,gpt2-large,sst2
9,0.544,5,1,gpt2-large,sst2
9,0.676,6,1,gpt2-large,sst2
9,0.468,7,1,gpt2-large,sst2
9,0.76,8,1,gpt2-large,sst2
9,0.468,9,1,gpt2-large,sst2
10,0.652,0,1,gpt2-large,sst2
10,0.704,1,1,gpt2-large,sst2
10,0.5,2,1,gpt2-large,sst2
10,0.468,3,1,gpt2-large,sst2
10,0.572,4,1,gpt2-large,sst2
10,0.648,5,1,gpt2-large,sst2
10,0.652,6,1,gpt2-large,sst2
10,0.468,7,1,gpt2-large,sst2
10,0.468,8,1,gpt2-large,sst2
10,0.54,9,1,gpt2-large,sst2
15,0.596,0,1,gpt2-large,sst2
15,0.504,1,1,gpt2-large,sst2
15,0.616,2,1,gpt2-large,sst2
15,0.692,3,1,gpt2-large,sst2
15,0.604,4,1,gpt2-large,sst2
15,0.472,5,1,gpt2-large,sst2
15,0.596,6,1,gpt2-large,sst2
15,0.716,7,1,gpt2-large,sst2
15,0.472,8,1,gpt2-large,sst2
15,0.708,9,1,gpt2-large,sst2
2,0.548,0,2,gpt2-large,sst2
2,0.844,1,2,gpt2-large,sst2
2,0.468,2,2,gpt2-large,sst2
2,0.468,3,2,gpt2-large,sst2
2,0.6,4,2,gpt2-large,sst2
2,0.468,5,2,gpt2-large,sst2
2,0.808,6,2,gpt2-large,sst2
2,0.788,7,2,gpt2-large,sst2
2,0.792,8,2,gpt2-large,sst2
2,0.78,9,2,gpt2-large,sst2
4,0.556,0,2,gpt2-large,sst2
4,0.76,1,2,gpt2-large,sst2
4,0.68,2,2,gpt2-large,sst2
4,0.904,3,2,gpt2-large,sst2
4,0.556,4,2,gpt2-large,sst2
4,0.904,5,2,gpt2-large,sst2
4,0.536,6,2,gpt2-large,sst2
